SRA,BioSample,NCBI_BioSample_ID,collection_date,env_broad_scale,env_local_scale,env_medium,geo_loc_name,host,lat_lon
SRR7287195,SAMN09288313,9288313,2016/11/1,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287196,SAMN09288316,9288316,2016/10/7,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287197,SAMN09288315,9288315,2016/10/7,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287198,SAMN09288310,9288310,2016/11/1,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287199,SAMN09288309,9288309,2016/11/1,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287200,SAMN09288298,9288298,2016/10/7,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287201,SAMN09288297,9288297,2016/10/7,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287202,SAMN09288296,9288296,2016/2/22,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287203,SAMN09288295,9288295,2016/2/22,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287204,SAMN09288294,9288294,2016/2/22,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287205,SAMN09288293,9288293,2016/2/22,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287206,SAMN09288292,9288292,2016/2/22,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287207,SAMN09288291,9288291,2016/2/22,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287208,SAMN09288290,9288290,2015/9/29,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287209,SAMN09288289,9288289,2015/9/29,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287210,SAMN09288330,9288330,2016/11/2,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287211,SAMN09288329,9288329,2016/11/2,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287212,SAMN09288312,9288312,2016/11/1,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287213,SAMN09288311,9288311,2016/11/1,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287214,SAMN09288327,9288327,2016/11/2,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287215,SAMN09288328,9288328,2016/11/2,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287216,SAMN09288323,9288323,2016/9/25,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287217,SAMN09288324,9288324,2016/9/25,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287218,SAMN09288325,9288325,2016/9/25,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287219,SAMN09288326,9288326,2016/9/25,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287220,SAMN09288319,9288319,2016/10/7,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287221,SAMN09288320,9288320,2016/10/7,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287222,SAMN09288321,9288321,2016/9/25,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287223,SAMN09288322,9288322,2016/9/25,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287224,SAMN09288305,9288305,2016/9/25,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287225,SAMN09288306,9288306,2016/9/25,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287226,SAMN09288303,9288303,2016/9/25,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287227,SAMN09288304,9288304,2016/9/25,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287228,SAMN09288301,9288301,2016/10/7,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287229,SAMN09288302,9288302,2016/10/7,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287230,SAMN09288299,9288299,2016/10/7,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287231,SAMN09288300,9288300,2016/10/7,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287232,SAMN09288331,9288331,2016/11/2,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287233,SAMN09288318,9288318,2016/10/7,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287234,SAMN09288307,9288307,2016/9/25,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287235,SAMN09288308,9288308,2016/9/25,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287236,SAMN09288317,9288317,2016/10/7,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287237,SAMN09288288,9288288,2015/9/29,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287238,SAMN09288287,9288287,2015/9/29,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287239,SAMN09288284,9288284,2015/10/12,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287240,SAMN09288283,9288283,2015/10/12,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287241,SAMN09288286,9288286,2015/9/29,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287242,SAMN09288285,9288285,2015/9/29,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287243,SAMN09288280,9288280,2015/10/12,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287244,SAMN09288279,9288279,2015/10/12,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287245,SAMN09288282,9288282,2015/10/12,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287246,SAMN09288281,9288281,2015/10/12,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7287247,SAMN09288332,9288332,2016/11/2,,,,Switzerland:Lausanne,Apis mellifera carnica,46.52 N 6.63 E
SRR7986789,SAMN10185839,10185839,15-Jul,,,,United Kingdom,Western honey bee,55.50 N 3.07 W
SRR7986790,SAMN10185838,10185838,15-Sep,,,,United Kingdom,Western honey bee,56.38 N 4.10 W
SRR7986791,SAMN10185831,10185831,2014,,,,United Kingdom,Western honey bee,52 N 1 W
SRR7986792,SAMN10185830,10185830,15-Aug,,,,United Kingdom,Western honey bee,57.55 N 3.6 W
SRR7986793,SAMN10185833,10185833,2014,,,,United Kingdom,Western honey bee,52 N 1 E
SRR7986794,SAMN10185832,10185832,2014,,,,United Kingdom,Western honey bee,52 N 0 E
SRR7986795,SAMN10185835,10185835,15-Aug,,,,United Kingdom,Western honey bee,57.64 N 2.55 W
SRR7986796,SAMN10185834,10185834,15-Jun,,,,United Kingdom,Western honey bee,54.88 N 5.02 W
SRR7986797,SAMN10185837,10185837,15-Sep,,,,United Kingdom,Western honey bee,57.56 N 4.26 W
SRR7986798,SAMN10185836,10185836,15-Sep,,,,United Kingdom,Western honey bee,56.61 N 5.23 W
SRR7986799,SAMN10185829,10185829,15-Aug,,,,United Kingdom,Western honey bee,55.7 N 4.83 W
SRR7986800,SAMN10185828,10185828,15-Jul,,,,United Kingdom,Western honey bee,56.3 N 3.46 W
SRR7986801,SAMN10185823,10185823,15-Aug,,,,United Kingdom,Western honey bee,57.55 N 3.56 W
SRR7986802,SAMN10185822,10185822,15-Aug,,,,United Kingdom,Western honey bee,55.69 N 4.83 W
SRR7986803,SAMN10185821,10185821,15-Jul,,,,United Kingdom,Western honey bee,56.27 N 3.46 W
SRR7986804,SAMN10185820,10185820,15-Jul,,,,United Kingdom,Western honey bee,52.35 N 2.71 W
SRR7986805,SAMN10185827,10185827,15-Jul,,,,United Kingdom,Western honey bee,52.4 N 2.71 W
SRR7986806,SAMN10185826,10185826,15-Sep,,,,United Kingdom,Western honey bee,55.86 N 3.17 W
SRR7986807,SAMN10185825,10185825,13-Oct,,,,United Kingdom,Western honey bee,55.90 N 3.67 W
SRR7986808,SAMN10185824,10185824,13-Oct,,,,United Kingdom,Western honey bee,56.51 N 3.02 W
SRR7986809,SAMN10185840,10185840,15-Jul,,,,United Kingdom,Western honey bee,56.47 N 3.54 W
SRR7986810,SAMN10185841,10185841,15-Jul,,,,United Kingdom,Western honey bee,55.77 N 4.19 W
SRR7986811,SAMN10185842,10185842,15-Sep,,,,United Kingdom,Western honey bee,57.03 N 5.65 W
